TQFQ Quadrant,Ct,% of total,% of assessed
replace,15,46.875,46.875,sod,6,sor,9
refactor,6,18.75,18.75,sor,5,sod,1
keep,8,25.0,25.0,sor,6,sod,2
enhance,3,9.375,9.375,sod,1,sor,2
not_assessed,0,0.0,0.0
