Point,Count,Percentage
2-3,12,0.1348314606741573
4-3,3,0.033707865168539325
2-2,27,0.30337078651685395
1-1,5,0.056179775280898875
1-2,3,0.033707865168539325
3-3,11,0.12359550561797752
4-5,7,0.07865168539325842
4-4,4,0.0449438202247191
-,31,0.34831460674157305
3-4,3,0.033707865168539325
3-2,3,0.033707865168539325
5-5,2,0.02247191011235955
3-1,2,0.02247191011235955
5-3,3,0.033707865168539325
4-1,2,0.02247191011235955
