ALL
Point,Count,Percentage
replace,42,0.35294117647058826
investigate,51,0.42857142857142855
enhance,5,0.04201680672268908
invest,20,0.16806722689075632
not_assessed,28,0.23529411764705882
refactor,1,0.008403361344537815
IKS
Point,Count,Percentage
replace,7,0.12727272727272726
investigate,31,0.5636363636363636
enhance,5,0.09090909090909091
invest,12,0.21818181818181817
SDO
Point,Count,Percentage
replace,32,0.6530612244897959
not_assessed,2,0.04081632653061224
invest,5,0.10204081632653061
investigate,12,0.24489795918367346
SSB
Point,Count,Percentage
investigate,6,0.75
invest,1,0.125
not_assessed,26,3.25
refactor,1,0.125
PREA
Point,Count,Percentage
invest,2,0.2857142857142857
investigate,2,0.2857142857142857
replace,3,0.42857142857142855
